e_pas,ena,ek,Rin,tau,RMP
-100,25,-110,0.8840990895642752,85.18920145446496,-82.40360208245758
-100,25,-105,0.8843441542596362,85.16306730806319,-82.39876098644858
-100,25,-100,0.8845895551591452,85.13691900279169,-82.39391450145682
-100,25,-95,0.8848352931308573,85.11075687979421,-82.38906261319553
-100,25,-90,0.8850813690462566,85.08458065291538,-82.38420530731634
-100,25,-85,0.8853277837802909,85.05839039725349,-82.37934256940876
-100,25,-80,0.8855745382113739,85.03218571855795,-82.37447438499998
-100,30,-110,0.8841166710372187,85.18814765125626,-82.40331448613937
-100,30,-105,0.8843617650268641,85.16201269220555,-82.39847288028476
-100,30,-100,0.8846071953056761,85.13586384131283,-82.39362588376487
-100,30,-95,0.8848529627420714,85.10970069090226,-82.38877348228436
-100,30,-90,0.8850990682078997,85.08352378377967,-82.3839156614863
-100,30,-85,0.8853455125784672,85.05733250904734,-82.37905240695159
-100,30,-80,0.885592296732561,85.03112732439021,-82.37418370419874
-100,35,-110,0.8841342547187254,85.18709385601277,-82.40302683850419
-100,35,-105,0.8843793780100325,85.16095812719568,-82.39818472258523
-100,35,-100,0.8846248376755611,85.13480824664614,-82.3933372143171
-100,35,-95,0.8848706345840769,85.10864444119596,-82.38848429939596
-100,35,-90,0.8851167696078097,85.08246680469205,-82.38362596345623
-100,35,-85,0.8853632436224217,85.05627481273214,-82.37876219207024
-100,35,-80,0.8856100575070692,85.03006887351364,-82.37389297074778
-100,40,-110,0.8841518406094085,85.18603992580536,-82.4027391395163
-100,40,-105,0.8843969932097522,85.15990326981353,-82.397896513314
-100,40,-100,0.8846424822693985,85.13375293446575,-82.39304849307726
-100,40,-95,0.8848883086574808,85.1075883678252,-82.38819506449376
-100,40,-90,0.8851344732465881,85.08141004217374,-82.38333621318937
-100,40,-85,0.8853809769127524,85.05521715606845,-82.37847192472768
-100,40,-80,0.8856278205355005,85.02901063269017,-82.37360218460977
-100,45,-110,0.8841694287098483,85.18498602284389,-82.40245138913988
-100,45,-105,0.8844146106265999,85.15884862731828,-82.39760825243499
-100,45,-100,0.8846601290877778,85.13269760063892,-82.39275972000908
-100,45,-95,0.8849059849628731,85.10653232645927,-82.3879057775413
-100,45,-90,0.8851521791248316,85.08035270139453,-82.38304641064889
-100,45,-85,0.8853987124500698,85.05415957328371,-82.37818160488682
-100,45,-80,0.8856455858184671,85.02795224687871,-82.37331134574738
-100,50,-110,0.8841870190206401,85.18393203464757,-82.40216358733909
-100,50,-105,0.8844322302611821,85.15779408005045,-82.39731993991207
-100,50,-100,0.8846777781312961,85.13164207843862,-82.39247089507614
-100,50,-95,0.8849236635008478,85.10547604775394,-82.38761643850188
-100,50,-90,0.8851698872431523,85.07929616364554,-82.38275655579788
-100,50,-85,0.8854164502349783,85.05310193466465,-82.37789123251045
-100,50,-80,0.8856633533565755,85.026893750791,-82.37302045412316
-100,55,-110,0.8842046115423641,85.18287813619537,-82.40187573407803
-100,55,-105,0.8844498521140777,85.1567391426582,-82.39703157570914
-100,55,-100,0.8846954294005499,85.13058671193114,-82.39218201824207
-100,55,-95,0.8849413442720145,85.10441993788972,-82.38732704733881
-100,55,-90,0.8851875976021412,85.07823916446915,-82.38246664859939
-100,55,-85,0.8854341902680726,85.05204436173331,-82.37760080756136
-100,55,-80,0.8856811231504317,85.02583536920699,-82.37272950969961
-95,25,-110,0.9377948505058146,77.73580775144752,-78.54223172613344
-95,25,-105,0.9382158216899203,77.69716172179822,-78.53450998859884
-95,25,-100,0.9386377136308061,77.65846275801579,-78.52677432819483
-95,25,-95,0.9390605302062985,77.61973619288291,-78.51902468709854
-95,25,-90,0.9394842753194024,77.58092858451069,-78.51126100710546
-95,25,-85,0.9399089528985471,77.54213333829178,-78.50348322962599
-95,25,-80,0.9403345668978171,77.50330611739486,-78.49569129568187
-95,30,-110,0.9378388138326714,77.7334987606934,-78.54155228003935
-95,30,-105,0.9382599037516326,77.69484905928029,-78.53382871801385
-95,30,-100,0.9386819149914751,77.65614580142467,-78.52609122422628
-95,30,-95,0.9391048514339674,77.61741598252718,-78.51833974078932
-95,30,-90,0.9395287169861116,77.57860512222153,-78.51057420943347
-95,30,-85,0.9399535155803713,77.53980657670142,-78.50279457150341
-95,30,-80,0.9403792511748346,77.500976341876,-78.49500076795466
-95,35,-110,0.9378827906385159,77.7311894738363,-78.54087260813534
-95,35,-105,0.9383039993656902,77.69253631541656,-78.53314722032195
-95,35,-100,0.9387261299784044,77.65382895277851,-78.52540789184337
-95,35,-95,0.939149186362385,77.61509547444955,-78.51765456474776
-95,35,-90,0.9395731724286596,77.57628138954685,-78.50988718070039
-95,35,-85,0.939998092113648,77.53747970819857,-78.5021056809803
-95,35,-80,0.9404239493795261,77.49864621174876,-78.49431000647648
-95,40,-110,0.9379267809322027,77.7288801351668,-78.54019271022678
-95,40,-105,0.9383481085410162,77.69022288504,-78.5324654953268
-95,40,-100,0.9387703586005857,77.65151166147702,-78.52472433084803
-95,40,-95,0.9391935350006809,77.61277472117283,-78.51696915877389
-95,40,-90,0.9396176416561985,77.57395723003378,-78.50919992070459
-95,40,-85,0.9400426825076241,77.53515268595457,-78.5014165578531
-95,40,-80,0.9404686615211989,77.49631598553336,-78.49361901104203
-95,45,-110,0.9379707847226046,77.72657022388611,-78.53951258611882
-95,45,-105,0.938392231286522,77.68790949449982,-78.53178354283186
